seccion,operacion,categoria,provincia,zona_normalizada_completa,indicador,valor,cantidad_anuncios,precio_promedio_usd,precio_mediano_usd,precio_promedio_usd_sin_outliers,precio_mediano_usd_sin_outliers,m2_promedio,precio_promedio_m2,cantidad_outliers,porcentaje_outliers,limite_inferior_iqr,limite_superior_iqr,observacion
campos_faltantes_por_categoria,venta,fincas,,,,,703,,,,,,,,,,,total_price_estimated_usd: 2/703 (0%); m2: 520/703 (74%); dormitorios: 475/703 (68%); baños: 449/703 (64%); parking: 616/703 (88%)
anuncios_por_categoria,venta,locales_comerciales_y_bodegas,,,total anuncios,,616,5081790.96,607976.12,760798.19,550000,2066.84,12381.32,64,10.41,-1313750,3028250,
campos_faltantes_por_categoria,venta,locales_comerciales_y_bodegas,,,,,616,,,,,,,,,,,total_price_estimated_usd: 1/616 (0%); m2: 1/616 (0%); dormitorios: 389/616 (63%); baños: 27/616 (4%); parking: 26/616 (4%)
anuncios_por_categoria,venta,lotes_y_terrenos,,,total anuncios,,4857,937098148.44,241434.56,314374.58,197537.37,9039.18,628788.02,686,14.28,-661206.8,1423924.08,
campos_faltantes_por_categoria,venta,lotes_y_terrenos,,,,,4857,,,,,,,,,,,total_price_estimated_usd: 52/4857 (1%); m2: 2639/4857 (54%); dormitorios: 4435/4857 (91%); baños: 4374/4857 (90%); parking: 4303/4857 (89%)
anuncios_por_categoria,venta,negocios,,,total anuncios,,178,1288041.72,862877.5,969220.77,801123.77,47642.77,11463.59,13,7.3,-1427812.5,3416687.5,
campos_faltantes_por_categoria,venta,negocios,,,,,178,,,,,,,,,,,m2: 5/178 (3%); dormitorios: 121/178 (68%); baños: 30/178 (17%); parking: 13/178 (7%)
anuncios_por_categoria,venta,oficinas,,,total anuncios,,142,31347548.93,450000,490501.79,395000,601.7,31533.85,14,9.86,-677001,1701835,
campos_faltantes_por_categoria,venta,oficinas,,,,,142,,,,,,,,,,,dormitorios: 95/142 (67%); baños: 14/142 (10%); parking: 4/142 (3%)
anuncios_por_categoria,venta,propiedades_de_playa,,,total anuncios,,472,947476.07,360000,394134.23,322500,9585.26,24337.42,68,14.44,-632828.29,1578096.97,
campos_faltantes_por_categoria,venta,propiedades_de_playa,,,,,472,,,,,,,,,,,total_price_estimated_usd: 1/472 (0%); m2: 355/472 (75%); dormitorios: 245/472 (52%); baños: 215/472 (46%); parking: 330/472 (70%)
resumen_por_provincia,,,San Jose,,,,16212,44765828.4,186563.07,206728.57,163468.5,764.6,99204.66,1268,7.84,-586750,984050,
resumen_por_provincia,,,Alajuela,,,,3975,484524929.08,197537.37,248163.89,173393.91,5603.83,18701.09,404,10.19,-511926.49,1069823.89,
resumen_por_provincia,,,Heredia,,,,3134,635773305.74,215096.24,260696.29,190000,2061.7,19005.33,282,9.02,-730500,1236700,
resumen_por_provincia,,,Cartago,,,,1511,3848497.43,252408.86,245526.98,219485.96,2598.44,12743.14,178,11.8,-228492.43,775895.46,
resumen_por_provincia,,,Puntarenas,,,,1012,3591254.33,280000,282611.89,250000,2323.72,12562.69,138,13.66,-376873.85,1026124.31,
resumen_por_provincia,,,Guanacaste,,,,933,86491972.67,246000,266040.59,195000,4735.12,27862.94,114,12.28,-660385.53,1276231.31,
resumen_por_provincia,,,Sin provincia,,,,704,6961262.51,237500,276942.23,196439.94,3977.15,17559.01,76,10.83,-567933.72,1210760.23,
resumen_por_provincia,,,Limon,,,,182,639862.42,189281.54,197363.41,151820.09,23998.1,9942.59,30,16.67,-399324.78,870394.86,
resumen_por_zona_normalizada_completa,,,,San Jose | Escazu | San Rafael,,,1831,315963.23,6500,198836.27,4500,353,3294.37,99,5.42,-622537.2,1043122.32,
resumen_por_zona_normalizada_completa,,,,San Jose | Escazu | Escazú,,,1507,64930283.12,195000,234455,150000,586.65,14545.37,100,6.66,-706250,1183750,
resumen_por_zona_normalizada_completa,,,,San Jose | San Jose | Rohrmoser,,,1216,215379.09,5000,137450.27,3511.78,436.19,3023.78,67,5.51,-423933.35,710360.01,
resumen_por_zona_normalizada_completa,,,,San Jose | San Jose | Mata Redonda,,,864,821249.59,3945,93517.55,2848,314.75,8973.36,63,7.3,-311625,522975,
resumen_por_zona_normalizada_completa,,,,San Jose | Santa Ana | Santa Ana,,,694,54059696.85,209386.15,276985.92,189378.96,621.08,26058.83,44,6.38,-788500,1321100,
resumen_por_zona_normalizada_completa,,,,Alajuela | Alajuela | San Rafael,,,687,689735.22,192573.83,267982.67,176650,1282.23,9362.45,45,6.56,-625000,1215000,
resumen_por_zona_normalizada_completa,,,,San Jose | Santa Ana | Pozos,,,637,8621572.48,230000,225598.86,208511.67,695.62,5497.63,52,8.16,-629500,1057700,
resumen_por_zona_normalizada_completa,,,,San Jose | Montes de Oca | San Pedro,,,616,14098932.4,174491.34,193836.24,120717.28,695.54,19621.77,50,8.13,-588750,985250,
resumen_por_zona_normalizada_completa,,,,San Jose | Santa Ana | Santa Ana Centro,,,570,1092922.82,162000,162943.52,13760,325.83,7543.34,44,7.75,-477250,800350,
resumen_por_zona_normalizada_completa,,,,Heredia | Heredia | Ulloa,,,503,872652.25,138000,125113.69,116579,453.59,2740.29,43,8.55,-347062.17,582241.39,
resumen_por_zona_normalizada_completa,,,,San Jose | Curridabat | Ciudad Curridabat,,,497,8661083.66,240000,239199.49,219742.98,748.19,11438.7,43,8.65,-665123.12,1119073.88,
resumen_por_zona_normalizada_completa,,,,San Jose | Curridabat | Granadilla,,,486,874781.23,260000,312654.14,229500,600.59,23947.46,32,6.6,-854750,1432850,
resumen_por_zona_normalizada_completa,,,,Cartago | La Union | Tres Ríos,,,472,2686189.29,330000,302669.31,300000,802.4,8908.24,46,9.75,-181156.58,828693.95,
resumen_por_zona_normalizada_completa,,,,Alajuela | Alajuela | Guácima,,,465,51509622.73,175294.39,239463.92,159000,1977.59,6050.01,36,7.76,-420062.5,940037.5,
resumen_por_zona_normalizada_completa,,,,San Jose | Santa Ana | Lindora,,,427,708250.6,215000,310647.82,79000,1337.25,2522.2,28,6.56,-965000,1619000,
resumen_por_zona_normalizada_completa,,,,San Jose | Curridabat | Sanchez,,,413,431014.23,250000,231070.42,225000,907.88,5570.49,44,10.65,-197500,742500,
